Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits,Archived
prometheus/prometheus,9064,14457,13637,195,8518,6531,14059,1286,1723,354,0,0,Active
syl20bnr/spacemacs,4888,16482,16426,13,7918,1987,12982,1438,4433,347,0,4593,Active
grpc/grpc,10505,37534,36567,348,25743,19458,55636,582,9870,313,0,0,Active
codemirror/CodeMirror,4961,7066,6635,26,2856,593,7172,817,4677,415,0,0,Active
Microsoft/CNTK,4284,3855,3015,85,472,258,16117,905,2729,188,8,0,Active
jiahaog/nativefier,2199,1570,1311,3,329,261,1287,135,412,129,0,0,Active
containous/traefik,5042,11078,10423,35,5042,4289,5232,123,832,412,0,0,Active
angular-ui/ui-router,2999,3856,3831,3,662,314,2123,501,779,158,0,0,Active
sequelize/sequelize,4265,16896,15950,91,6472,4748,11087,197,1867,374,0,0,Active
dotnet/corefx,4943,24927,24927,0,24927,21887,4,55,2,3,11,0,Active
cmderdev/cmder,2026,2881,2823,9,598,427,1699,635,287,125,0,0,Active
apache/incubator-mxnet,6794,20687,18677,205,10919,8838,11896,103,670,370,11,0,Active
avajs/ava,1404,3100,3038,4,1437,1065,2042,243,768,303,0,0,Active
alibaba/fastjson,6504,4494,2383,182,688,418,3983,95,1514,170,0,0,Active
afollestad/material-dialogs,3116,279,267,12,267,179,2020,170,1729,90,0,1673,Active
wekan/wekan,2828,5141,4503,3,1478,1213,11576,861,8256,261,0,0,Active
redux-saga/redux-saga,1970,2390,2353,9,892,673,1943,251,415,322,0,0,Active
pingcap/tidb,5819,56287,51750,1052,36260,29807,24732,19,1144,400,0,0,Active
docker/compose,5190,11973,11729,24,4279,3128,4863,296,991,178,2,0,Active
uikit/uikit,2321,4994,4407,33,692,273,6792,68,4489,32,0,0,Active
facebook/osquery,2442,8375,7745,40,5003,4286,6498,207,2370,384,0,0,Active
realm/realm-cocoa,2144,8559,8150,13,3151,2608,12427,704,3014,136,0,0,Active
gorhill/uBlock,3095,3839,3825,2,392,241,12582,133,7692,105,0,11848,Active
yiisoft/yii2,6911,19755,19237,92,8106,5197,20520,724,3584,350,0,0,Active
CoderMJLee/MJRefresh,3549,1608,1554,7,213,112,408,314,130,40,0,204,Active
Homebrew/brew,9613,17623,17561,12,13104,11488,42195,1062,10729,377,2,0,Active
hashicorp/terraform,9506,35425,33457,172,14252,11793,33377,1004,4025,363,0,0,Active
localForage/localForage,1266,1094,848,35,343,269,1126,398,611,95,0,0,Active
facebook/prepack,425,2640,2408,40,1831,500,1596,616,331,78,0,0,Active
ampproject/amphtml,3892,39914,38945,73,25508,20622,22506,87,1434,395,1,0,Active
laravel/framework,10935,48911,48867,32,30654,15390,38383,813,16280,382,0,0,Active
onevcat/Kingfisher,2644,2185,2036,0,785,652,2980,242,1768,183,0,2446,Active
jgm/pandoc,3354,9691,8558,82,1979,1587,17735,1216,11891,418,0,11889,Active
